sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,2,3,standard,low,no,yes,2.61,1.3,3.17,115,SOLO STANDARD,2.61,115
800,2,3,standard,low,yes,no,1.67,0.83,2.77,75,SOLO STANDARD,1.67,75
800,2,3,standard,low,yes,yes,2.3,1.15,4.87,105,SOLO STANDARD,2.3,105
800,2,3,standard,medium,no,no,2.27,1.14,1.38,100,SOLO STANDARD,2.27,100
800,2,3,standard,medium,no,yes,2.9,1.45,3.48,130,SOLO STANDARD,2.9,130
800,2,3,standard,medium,yes,no,1.96,0.98,3.08,90,SOLO STANDARD,1.96,90
800,2,3,standard,medium,yes,yes,2.59,1.3,5.18,115,SOLO STANDARD,2.59,115
800,2,3,standard,high,no,no,2.99,1.5,3.43,135,SOLO STANDARD,2.99,135
800,2,3,standard,high,no,yes,3.62,1.81,5.53,165,SOLO STANDARD,3.62,165
800,2,3,standard,high,yes,no,2.68,1.34,5.13,120,SOLO STANDARD,2.68,120
800,2,3,standard,high,yes,yes,3.31,1.66,7.23,150,SOLO STANDARD,3.31,150
800,2,3,deep,low,no,no,3.77,1.88,2.15,170,SOLO DEEP,3.77,170
800,2,3,deep,low,no,yes,4.4,2.2,4.25,200,SOLO DEEP,4.4,200
800,2,3,deep,low,yes,no,3.46,1.73,3.85,155,SOLO DEEP,3.46,155
800,2,3,deep,low,yes,yes,4.09,2.04,5.95,185,SOLO DEEP,4.09,185
800,2,3,deep,medium,no,no,4.07,2.03,2.78,185,SOLO DEEP,4.07,185
800,2,3,deep,medium,no,yes,4.69,2.35,4.88,210,SOLO DEEP,4.69,210
800,2,3,deep,medium,yes,no,3.75,1.88,4.48,170,SOLO DEEP,3.75,170
800,2,3,deep,medium,yes,yes,4.38,2.19,6.58,195,SOLO DEEP,4.38,195
800,2,3,deep,high,no,no,4.79,2.39,6.89,215,SOLO DEEP,4.79,215
800,2,3,deep,high,no,yes,5.42,2.71,8.99,245,SOLO DEEP,5.42,245
800,2,3,deep,high,yes,no,4.48,2.24,8.59,200,SOLO DEEP,4.48,200
800,2,3,deep,high,yes,yes,5.1,2.55,10.69,230,SOLO DEEP,5.1,230
800,2,4,standard,low,no,no,2.13,1.06,1.07,95,SOLO STANDARD,2.13,95
800,2,4,standard,low,no,yes,2.76,1.38,3.17,125,SOLO STANDARD,2.76,125
800,2,4,standard,low,yes,no,1.82,0.91,2.77,80,SOLO STANDARD,1.82,80
800,2,4,standard,low,yes,yes,2.45,1.22,4.87,110,SOLO STANDARD,2.45,110
800,2,4,standard,medium,no,no,2.42,1.21,1.38,110,SOLO STANDARD,2.42,110
800,2,4,standard,medium,no,yes,3.05,1.53,3.48,135,SOLO STANDARD,3.05,135
800,2,4,standard,medium,yes,no,2.11,1.06,3.08,95,SOLO STANDARD,2.11,95
800,2,4,standard,medium,yes,yes,2.74,1.37,5.18,125,SOLO STANDARD,2.74,125
800,2,4,standard,high,no,no,3.14,1.57,3.43,140,SOLO STANDARD,3.14,140
